name,n,win_rate,avg_pnl,med_pnl,total_pnl_sum,profit_factor,avg_win,avg_loss,max_win,max_loss,avg_hold_days,add_rate
all|both|trail_ma20|add=None|tgt=None,19,0.15789473684210525,-0.008393060501692922,-0.01425039481105471,-0.15946814953216554,0.5642452140811611,0.06883010283116918,-0.022872403626604566,0.11738996447602132,-0.06986379136327589,10.789473684210526,0.0
all|ma20|macd_or_target|add=None|tgt=0.08,35,0.2571428571428571,-0.0049642451675149055,-0.018982781456953642,-0.1737485808630217,0.7328944713159277,0.0529708967009114,-0.025018717352739393,0.17129934354017876,-0.05403053636733035,13.314285714285715,0.0
strong|ma20|macd_or_target|add=None|tgt=0.08,30,0.23333333333333334,-0.005992956263465064,-0.019591951648669947,-0.17978868790395192,0.7048615539623058,0.061339800568732006,-0.026485534429785903,0.17129934354017876,-0.05403053636733035,13.4,0.0
all|ma20|trail_ma60|add=None|macd_stop=True,46,0.21739130434782608,-0.004616032966554202,-0.0042841390794423825,-0.2123375164614933,0.28320953903881046,0.008389621993164526,-0.008228714899809406,0.025350232666356443,-0.026675139161201632,1.9565217391304348,0.0
all|ma20|trail_ma60|add=0.05|macd_stop=True,46,0.21739130434782608,-0.004616032966554202,-0.0042841390794423825,-0.2123375164614933,0.28320953903881046,0.008389621993164526,-0.008228714899809406,0.025350232666356443,-0.026675139161201632,1.9565217391304348,0.0
strong|ma20|trail_ma60|add=None|macd_stop=False,37,0.21621621621621623,-0.005789649754028261,-0.005168546803403884,-0.21421704089904564,0.20132871036729763,0.006749967280459256,-0.00924885445319723,0.02012113715092161,-0.026675139161201632,1.2702702702702702,0.0
strong|ma20|trail_ma60|add=0.03|macd_stop=False,37,0.21621621621621623,-0.005789649754028261,-0.005168546803403884,-0.21421704089904564,0.20132871036729763,0.006749967280459256,-0.00924885445319723,0.02012113715092161,-0.026675139161201632,1.2702702702702702,0.0
strong|ma20|trail_ma60|add=0.05|macd_stop=False,37,0.21621621621621623,-0.005789649754028261,-0.005168546803403884,-0.21421704089904564,0.20132871036729763,0.006749967280459256,-0.00924885445319723,0.02012113715092161,-0.026675139161201632,1.2702702702702702,0.0
strong|ma20|trail_ma60|add=0.05|macd_stop=True,37,0.21621621621621623,-0.005789649754028261,-0.005168546803403884,-0.21421704089904564,0.20132871036729763,0.006749967280459256,-0.00924885445319723,0.02012113715092161,-0.026675139161201632,1.2702702702702702,0.0
strong|ma20|trail_ma60|add=0.03|macd_stop=True,37,0.21621621621621623,-0.005789649754028261,-0.005168546803403884,-0.21421704089904564,0.20132871036729763,0.006749967280459256,-0.00924885445319723,0.02012113715092161,-0.026675139161201632,1.2702702702702702,0.0
strong|ma20|trail_ma60|add=None|macd_stop=True,37,0.21621621621621623,-0.005789649754028261,-0.005168546803403884,-0.21421704089904564,0.20132871036729763,0.006749967280459256,-0.00924885445319723,0.02012113715092161,-0.026675139161201632,1.2702702702702702,0.0
all|ma20|trail_ma60|add=0.03|macd_stop=True,46,0.21739130434782608,-0.004952117726442893,-0.0042841390794423825,-0.22779741541637308,0.23102136107125243,0.006843632097676548,-0.008228714899809406,0.02012113715092161,-0.026675139161201632,1.9565217391304348,0.021739130434782608
strong|both|macd_or_target|add=None|tgt=0.08,17,0.17647058823529413,-0.013691951764874064,-0.020642573792066177,-0.2327631800028591,0.4560528375010041,0.06505062502662766,-0.03056536107733872,0.13412767103087714,-0.06986379136327589,11.294117647058824,0.0
all|both|macd_or_target|add=None|tgt=0.08,19,0.21052631578947367,-0.012464073259324568,-0.013762116009565272,-0.2368173919271668,0.46382243089110503,0.05121494479128513,-0.029445144739487162,0.13412767103087714,-0.06986379136327589,11.263157894736842,0.0
all|ma20|trail_ma60|add=None|macd_stop=False,46,0.17391304347826086,-0.005464416529548389,-0.004704094223706363,-0.2513631603592259,0.17683791479166033,0.006749967280459256,-0.008035865752707894,0.02012113715092161,-0.026675139161201632,2.217391304347826,0.0
all|ma20|trail_ma60|add=0.05|macd_stop=False,46,0.17391304347826086,-0.005464416529548389,-0.004704094223706363,-0.2513631603592259,0.17683791479166033,0.006749967280459256,-0.008035865752707894,0.02012113715092161,-0.026675139161201632,2.217391304347826,0.0
strong|both|trail_ma20|add=None|tgt=None,17,0.11764705882352941,-0.015476235176389505,-0.01498679525222552,-0.2630959979986216,0.2529848649405086,0.0445501720087431,-0.023479756134407188,0.0887141270283446,-0.06986379136327589,9.529411764705882,0.0
