year,bh,st,exp
2016,0.10106709250912371,-0.031889962845709996,0.016
2017,0.18968376622439842,-0.0038708703571428416,0.0040650406504065045
2018,-0.04459779061993696,-0.0015195719768179572,0.032388663967611336
2019,0.3063606917575359,-0.010073244772827672,0.01652892561983471
2020,0.33552326534821275,0.08093451249576078,0.024489795918367346
2021,0.25350456727060866,-0.01516360002469297,0.012295081967213115
2022,-0.1991795726189186,-0.05215558169691348,0.08943089430894309
2023,0.24355970302133367,-0.011542393252924388,0.012552301255230125
2024,0.28804608782071717,0.0,0.0
2025,0.3155112201249364,0.006397995350859942,0.024691358024691357
2026,0.554731672367462,0.0,0.0
