year,bh,st,exp
2016,0.10106709250912371,-0.1191286639184197,0.136
2017,0.18968376622439842,-0.06810659990048795,0.13821138211382114
2018,-0.04459779061993696,-0.12621650884579816,0.5222672064777328
2019,0.3063606917575359,-0.0949131808402851,0.26859504132231404
2020,0.33552326534821275,-0.06953804537386632,0.2816326530612245
2021,0.25350456727060866,-0.12515211119937997,0.21311475409836064
2022,-0.1991795726189186,0.061671577365880914,0.6951219512195121
2023,0.24355970302133367,-0.04451059350405662,0.26359832635983266
2024,0.28804608782071717,-0.15116585775440694,0.1859504132231405
2025,0.3155112201249364,-0.04971896225766648,0.24691358024691357
2026,0.554731672367462,-0.13777014846550184,0.09815950920245399
