total_return,cagr,max_dd,sharpe,time_in_short,bull_years_avg,bear_years_avg,bull_years_median,bear_years_median,n_bull_years,n_bear_years,strategy,asymmetric_score
-0.04909338691892151,-0.004938351166726362,-0.13942063571653507,-0.02703746559325717,0.041498791297340853,0.000986588421885531,-0.027216264487111563,-0.014073396971492236,-0.027216264487111563,9,2,S6_break_ll20,-0.06824157694481048
-0.04322168214001898,-0.004335765622251797,-0.15834147638641627,-0.04058360027881649,0.02215954875100725,0.0016436040659247616,-0.026837576836865717,-0.0038708703571428416,-0.026837576836865717,9,2,S7_ma60_down_and_ll20,-0.07281518878789182
-0.3627895587230706,-0.04335154233991734,-0.4087354844277252,-0.37881368418307165,0.16156325543916197,-0.04207973352098815,-0.023910139131929298,-0.011225363189698245,-0.023910139131929298,9,2,S4_below_ma120_down,-0.23559597919896413
-0.378566894805934,-0.04570740011803964,-0.4172979696898178,-0.37475506278907234,0.19661563255439163,-0.04541977675333686,-0.02327413349493318,-0.05894634668022647,-0.02327413349493318,9,2,S3_below_ma60_down,-0.24401982992493576
-0.3510080034442895,-0.041626390068166486,-0.4608710862370041,-0.4922488171712634,0.07614826752618856,-0.034109573605381215,-0.04763776132436215,-0.013549367063006246,-0.04763776132436215,9,2,S10_vol_expand_ma60,-0.2589294133252149
-0.4451335757742765,-0.05628155795778356,-0.48703976732133225,-0.43936477961884024,0.290491539081386,-0.06524638514976526,0.016614135393106688,-0.0824447972341571,0.016614135393106688,9,2,S5_death_cross,-0.2673978420194162
-0.4296322539731685,-0.05372083491386581,-0.4976242643542561,-0.8218486903541421,0.21394037066881547,-0.052029252040397954,-0.034885378280248625,-0.0637175576933332,-0.034885378280248625,9,2,S9_rsi_overbought_short,-0.2933515192928191
-0.5649314471205285,-0.07858711648539796,-0.5854772470824188,-0.49355304297411334,0.34367445608380337,-0.0992731840383006,0.08269470275602969,-0.10161997770847242,0.08269470275602969,9,2,S1_below_ma20,-0.30720234925126055
-0.5485896268747072,-0.07523976367749252,-0.5659887537930257,-0.6082217346347213,0.21394037066881547,-0.07912327084321484,-0.016873488551633287,-0.07199264764883817,-0.016873488551633287,9,2,S8_ret60_neg_ma60,-0.35348310566856467
-0.627163877748689,-0.09246931073837661,-0.627163877748689,-0.6651151337704904,0.290491539081386,-0.09555601813489677,-0.03227246573995862,-0.0949131808402851,-0.03227246573995862,9,2,S2_below_ma60,-0.42110366841682634
-0.9044062845305063,-0.20616318156238012,-0.9071326097399169,-1.1245594991858452,0.999597099113618,-0.24227760722664385,0.1093295220483731,-0.24321530768922162,0.1093295220483731,9,2,S0_always_short,-0.6815724755176293
