strategy,year,bh,st,exposure
S0_always_short,2016,0.10106709250912371,-0.0999498605471365,0.992
S0_always_short,2017,0.18968376622439842,-0.1655451625792026,1.0
S0_always_short,2018,-0.04459779061993696,0.018466752336972814,1.0
S0_always_short,2019,0.3063606917575359,-0.24321530768922162,1.0
S0_always_short,2020,0.33552326534821275,-0.29065338724465284,1.0
S0_always_short,2021,0.25350456727060866,-0.22753158839844256,1.0
S0_always_short,2022,-0.1991795726189186,0.20019229175977338,1.0
S0_always_short,2023,0.24355970302133367,-0.2074999824134942,1.0
S0_always_short,2024,0.28804608782071717,-0.26052878814315217,1.0
S0_always_short,2025,0.3155112201249364,-0.28405707637580535,1.0
S0_always_short,2026,0.554731672367462,-0.401517311648687,1.0
S1_below_ma20,2016,0.10106709250912371,-0.06919488983918132,0.304
S1_below_ma20,2017,0.18968376622439842,-0.10161997770847242,0.2926829268292683
S1_below_ma20,2018,-0.04459779061993696,-0.0741702537128196,0.48582995951417
S1_below_ma20,2019,0.3063606917575359,0.008530066889838928,0.23140495867768596
S1_below_ma20,2020,0.33552326534821275,-0.0009566881161356955,0.30612244897959184
S1_below_ma20,2021,0.25350456727060866,-0.16384858280898262,0.3114754098360656
S1_below_ma20,2022,-0.1991795726189186,0.23955965922487898,0.6097560975609756
S1_below_ma20,2023,0.24355970302133367,-0.11400104826227642,0.33472803347280333
S1_below_ma20,2024,0.28804608782071717,-0.12109778036323815,0.29338842975206614
S1_below_ma20,2025,0.3155112201249364,-0.0941028377520553,0.2962962962962963
S1_below_ma20,2026,0.554731672367462,-0.23716691838420245,0.26380368098159507
S2_below_ma60,2016,0.10106709250912371,-0.1191286639184197,0.136
S2_below_ma60,2017,0.18968376622439842,-0.06810659990048795,0.13821138211382114
S2_below_ma60,2018,-0.04459779061993696,-0.12621650884579816,0.5222672064777328
S2_below_ma60,2019,0.3063606917575359,-0.0949131808402851,0.26859504132231404
S2_below_ma60,2020,0.33552326534821275,-0.06953804537386632,0.2816326530612245
S2_below_ma60,2021,0.25350456727060866,-0.12515211119937997,0.21311475409836064
S2_below_ma60,2022,-0.1991795726189186,0.061671577365880914,0.6951219512195121
S2_below_ma60,2023,0.24355970302133367,-0.04451059350405662,0.26359832635983266
S2_below_ma60,2024,0.28804608782071717,-0.15116585775440694,0.1859504132231405
S2_below_ma60,2025,0.3155112201249364,-0.04971896225766648,0.24691358024691357
S2_below_ma60,2026,0.554731672367462,-0.13777014846550184,0.09815950920245399
S3_below_ma60_down,2016,0.10106709250912371,-0.05945652031643822,0.088
S3_below_ma60_down,2017,0.18968376622439842,-0.013697334657946647,0.036585365853658534
S3_below_ma60_down,2018,-0.04459779061993696,-0.08418670897381475,0.4331983805668016
S3_below_ma60_down,2019,0.3063606917575359,-0.05894634668022647,0.10330578512396695
S3_below_ma60_down,2020,0.33552326534821275,-0.01868501690525448,0.17551020408163265
S3_below_ma60_down,2021,0.25350456727060866,-0.10685096219479806,0.14344262295081966
S3_below_ma60_down,2022,-0.1991795726189186,0.03763844198394839,0.6544715447154471
S3_below_ma60_down,2023,0.24355970302133367,-0.00409833956754746,0.15481171548117154
S3_below_ma60_down,2024,0.28804608782071717,-0.08620276195557475,0.049586776859504134
S3_below_ma60_down,2025,0.3155112201249364,-0.060840708502245655,0.19753086419753085
S3_below_ma60_down,2026,0.554731672367462,0.0,0.0
S4_below_ma120_down,2016,0.10106709250912371,0.0,0.0
S4_below_ma120_down,2017,0.18968376622439842,0.0,0.0
S4_below_ma120_down,2018,-0.04459779061993696,-0.03727484594671049,0.3684210526315789
S4_below_ma120_down,2019,0.3063606917575359,-0.04819705776587535,0.1115702479338843
S4_below_ma120_down,2020,0.33552326534821275,-0.15497270691449738,0.22040816326530613
S4_below_ma120_down,2021,0.25350456727060866,-0.04630832073497271,0.07377049180327869
S4_below_ma120_down,2022,-0.1991795726189186,-0.010545432317148107,0.6260162601626016
S4_below_ma120_down,2023,0.24355970302133367,-0.011225363189698245,0.012552301255230125
S4_below_ma120_down,2024,0.28804608782071717,0.0,0.0
S4_below_ma120_down,2025,0.3155112201249364,-0.11801415308384966,0.2222222222222222
S4_below_ma120_down,2026,0.554731672367462,0.0,0.0
S5_death_cross,2016,0.10106709250912371,-0.03943808559971351,0.128
S5_death_cross,2017,0.18968376622439842,-0.01857057087762537,0.04878048780487805
S5_death_cross,2018,-0.04459779061993696,-0.0397007926689138,0.5263157894736842
