year,bh,st,exp
2016,0.10106709250912371,-0.06919488983918132,0.304
2017,0.18968376622439842,-0.10161997770847242,0.2926829268292683
2018,-0.04459779061993696,-0.0741702537128196,0.48582995951417
2019,0.3063606917575359,0.008530066889838928,0.23140495867768596
2020,0.33552326534821275,-0.0009566881161356955,0.30612244897959184
2021,0.25350456727060866,-0.16384858280898262,0.3114754098360656
2022,-0.1991795726189186,0.23955965922487898,0.6097560975609756
2023,0.24355970302133367,-0.11400104826227642,0.33472803347280333
2024,0.28804608782071717,-0.12109778036323815,0.29338842975206614
2025,0.3155112201249364,-0.0941028377520553,0.2962962962962963
2026,0.554731672367462,-0.23716691838420245,0.26380368098159507
