year,bh,st,exp
2016,0.10106709250912371,-0.033239936927221936,0.024
2017,0.18968376622439842,-0.015613779427935737,0.012195121951219513
2018,-0.04459779061993696,-0.13502131231999304,0.17408906882591094
2019,0.3063606917575359,-0.013277667832060969,0.049586776859504134
2020,0.33552326534821275,0.09055467834430808,0.10204081632653061
2021,0.25350456727060866,-0.05945442483358321,0.0778688524590164
2022,-0.1991795726189186,0.08623823388457241,0.4065040650406504
2023,0.24355970302133367,-0.03460739301208926,0.008368200836820083
2024,0.28804608782071717,-0.09295473392249021,0.02066115702479339
2025,0.3155112201249364,0.03716120266022638,0.14814814814814814
2026,0.554731672367462,0.0,0.0
