name,cagr,total,maxdd,exposure,bull_avg,bear_avg,y2018,y2022,covid,score
below_ma20,-0.07858711648539796,-0.5649314471205285,-0.5854772470824188,0.34367445608380337,-0.0992731840383006,0.08269470275602969,-0.0741702537128196,0.23955965922487898,0.1757025841319555,-0.0013562847315853749
ma60_and_ret20_lt_-3pct,-0.019104659482326203,-0.17810533945689233,-0.2871291874980445,0.0999194198227236,-0.013492450550094095,-0.024391539217710312,-0.13502131231999304,0.08623823388457241,0.1465031790567728,-0.021702789577058262
break_prior_ll20,-0.004938351166726362,-0.04909338691892151,-0.13942063571653507,0.041498791297340853,0.000986588421885531,-0.027216264487111563,-0.009217110830305408,-0.04521541814391772,0.08093451249576078,-0.030970038403377767
ma60_down_and_ll20,-0.004335765622251797,-0.04322168214001898,-0.15834147638641627,0.02215954875100725,0.0016436040659247616,-0.026837576836865717,-0.0015195719768179572,-0.05215558169691348,0.08093451249576078,-0.03104820432493782
death_cross_20_60,-0.05628155795778356,-0.4451335757742765,-0.48703976732133225,0.290491539081386,-0.06524638514976526,0.016614135393106688,-0.0397007926689138,0.07292906345512717,0.18667979711003713,-0.0544752482129138
ma60_slope_down,-0.04570740011803964,-0.378566894805934,-0.4172979696898178,0.19661563255439163,-0.04541977675333686,-0.02327413349493318,-0.08418670897381475,0.03763844198394839,0.14636270154228903,-0.0886488454758815
flip_ma60_after_40up,-0.03930421747370583,-0.33483913330563597,-0.33483913330563597,0.038678485092667206,-0.04249148297628399,-0.006445193861830845,0.0,-0.01289038772366169,0.0,-0.09434616276639132
flip_ma60_confirm2,-0.03426057782158587,-0.2984633689781234,-0.2984633689781234,0.036663980660757454,-0.0331993275614005,-0.02362751567300031,-0.03141128647011415,-0.015843744875886467,0.0,-0.1023843639264771
below_ma120_down,-0.04335154233991734,-0.3627895587230706,-0.4087354844277252,0.16156325543916197,-0.04207973352098815,-0.023910139131929298,-0.03727484594671049,-0.010545432317148107,0.01073268367783542,-0.11770484434814704
flip_ma60_after_20up,-0.04762001298108265,-0.39111577149476484,-0.39111577149476484,0.045124899274778404,-0.047344006154614156,-0.027647061384132587,-0.042403735044603486,-0.01289038772366169,0.0,-0.13546545981879746
ret60_neg_and_ma60,-0.07523976367749252,-0.5485896268747072,-0.5659887537930257,0.21394037066881547,-0.07912327084321484,-0.016873488551633287,-0.05808594218906382,0.02433896508579725,0.13263515838052875,-0.14974979563687976
below_ma60,-0.09246931073837661,-0.627163877748689,-0.627163877748689,0.290491539081386,-0.09555601813489677,-0.03227246573995862,-0.12621650884579816,0.061671577365880914,0.1865017951404706,-0.1881990389744993
always_short,-0.20616318156238012,-0.9044062845305063,-0.9071326097399169,0.999597099113618,-0.24227760722664385,0.1093295220483731,0.018466752336972814,0.20019229175977338,0.19107599129335306,-0.24519262873079692
