stock_id,avg_volume,sample_days,avg_range_pct
3481,182059650.2,40,0.040018674383282535
2409,112732924.325,40,0.03519555159794742
2344,101807751.525,40,0.03773930996226476
2303,90411922.175,40,0.023607867036381
6770,84299993.6,40,0.034278301901877806
2317,68286718.075,40,0.02494813431820978
2408,61533929.325,40,0.04197626440569803
2887,58890703.5,40,0.01692451557775768
2337,56579464.825,40,0.03830069062802628
2891,55628124.175,40,0.01898393227872055
1815,55449007.65,40,0.05304320054298446
1303,54743008.075,40,0.03956316326875513
2883,52856371.75,40,0.01786593357604145
3231,51825232.35,40,0.032945000595779095
2618,50620987.325,40,0.02092973198362879
0050,48456810.75,40,0.011671192593949772
1802,44978869.85,40,0.04196569743342286
2609,42442587.975,40,0.02882951244941361
0056,39235386.425,40,0.008852365507450066
2330,37888952.85,40,0.017320848715067134
3706,36966991.575,40,0.03366996233028964
2324,36625347.55,40,0.028815459667314802
1605,35720736.1,40,0.03217638287668686
2610,35698173.1,40,0.02202378044689941
2002,34733010.95,40,0.016638964792708898
