days,avg_range_pct,median_range_pct,p75_range_pct,avg_volume,symbol,last_date
645,0.04840976065924742,0.04296296296296305,0.0627177700348432,69327.43720930233,2408,2026-09-01
645,0.04328524796129088,0.03641456582633045,0.05737704918032787,110210.16124031007,2344,2026-09-01
645,0.0420593935057322,0.03157894736842113,0.0570652173913042,56874.362790697676,2337,2026-09-01
645,0.04169076060723649,0.0343434343434344,0.05526315789473688,99165.6,6770,2026-09-01
638,0.03927890818290999,0.030709238967726503,0.04747071215702396,181276.42319749217,3481,2026-09-01
645,0.03501744976423199,0.02724795640326975,0.04155124653739612,109342.68372093023,2409,2026-09-01
645,0.027466910294230935,0.018701870187018577,0.03255813953488363,92059.72713178294,2303,2026-09-01
644,0.026206031021104324,0.024227749651478465,0.03185450394354504,70067.62422360248,2317,2026-09-01
645,0.018874348812056737,0.016317016317016386,0.02306805074971165,53385.73333333333,2891,2026-09-01
644,0.017828534318249288,0.014492753623188406,0.021990124413031845,58257.28571428572,2887,2026-09-01
