config,pool,n,win_rate,avg_pnl,total_pnl,pf
ORB15_all,all,6769,0.39902496676023047,-0.0016542458669615487,-11.197590273462723,0.7554994751793866
ORB15_all,2303,676,0.3683431952662722,-0.0024064080507041267,-1.6267318422759898,0.5991860143229922
ORB15_all,2337,680,0.4338235294117647,-0.0009111026010743514,-0.619549768730559,0.8845757564066267
ORB15_all,2344,718,0.4428969359331476,-0.0018044550757361246,-1.2955987443785375,0.7871835716397966
ORB15_all,2408,707,0.4837340876944837,0.0013941130969925754,0.9856379595737508,1.1789340761730174
ORB15_all,2409,665,0.3804511278195489,-0.0026817529866985396,-1.7833657361545288,0.621006775784676
ORB15_all,2891,710,0.30704225352112674,-0.0026727167082557513,-1.8976288628615834,0.41530318359490187
ORB15_all,6770,665,0.4706766917293233,-0.00024286522394648038,-0.16150537392440945,0.9657052448653627
ORB15_all,2317,661,0.42208774583963693,-0.0015926914154776337,-1.0527690256307158,0.6985783433859544
ORB15_all,2887,616,0.2662337662337662,-0.003191010967650189,-1.9656627560725164,0.38192728332298004
ORB15_all,3481,671,0.40238450074515647,-0.0026533772325001976,-1.7804161230076325,0.6728412490806887
ORB15_range0.4%,all,6418,0.4074478030539109,-0.0016575144161432196,-10.637927522807184,0.7564277012922607
ORB15_range0.4%,2303,639,0.37245696400625977,-0.0024658289113814384,-1.5756646743727392,0.5933834964119938
ORB15_range0.4%,2337,648,0.4398148148148148,-0.0009253137783962568,-0.5996033284007745,0.8829490018547649
ORB15_range0.4%,2344,677,0.4564254062038405,-0.0017594970930028785,-1.1911795319629488,0.7915905463066262
ORB15_range0.4%,2408,677,0.4859675036927622,0.0011505232751158538,0.778904257253433,1.1481472049584434
ORB15_range0.4%,2409,661,0.37972768532526474,-0.0027130609777406083,-1.793333306286542,0.6175253061967171
ORB15_range0.4%,2891,642,0.32087227414330216,-0.0026127783817426887,-1.6774037210788062,0.4347982936822379
ORB15_range0.4%,6770,657,0.4672754946727549,-0.0003752243690345078,-0.24652241045567164,0.9475618685256489
ORB15_range0.4%,2317,660,0.4212121212121212,-0.001607612403444373,-1.061024186273286,0.696214782019768
ORB15_range0.4%,2887,501,0.2954091816367265,-0.002783532814148019,-1.3945499398881576,0.44864673445567727
ORB15_range0.4%,3481,656,0.4024390243902439,-0.002862119941069651,-1.877550681341691,0.6473419714346725
ORB15_range0.6%,all,5867,0.4167376853587864,-0.0015938085843123133,-9.350874964160342,0.7732494556408386
ORB15_range0.6%,2303,546,0.3791208791208791,-0.0025312869610928115,-1.382082680756675,0.6075690416585655
ORB15_range0.6%,2337,620,0.4435483870967742,-0.0009192102549817832,-0.5699103580887056,0.8859779583511991
ORB15_range0.6%,2344,651,0.45314900153609833,-0.0019587070401898697,-1.2751182831636052,0.7730077873334762
ORB15_range0.6%,2408,669,0.4828101644245142,0.0010777733856036295,0.7210303949688281,1.1375791737151904
ORB15_range0.6%,2409,629,0.3863275039745628,-0.002565615530278401,-1.613772168545114,0.6390570689033304
ORB15_range0.6%,2891,482,0.3360995850622407,-0.0025402649937705493,-1.2244077269974047,0.47331755376185924
ORB15_range0.6%,6770,625,0.472,-0.00022508806767795902,-0.14068004229872438,0.968824609979992
ORB15_range0.6%,2317,635,0.4204724409448819,-0.0016049730293434422,-1.0191578736330857,0.6980543637327106
ORB15_range0.6%,2887,358,0.3240223463687151,-0.0025728232551901447,-0.9210707253580718,0.5059952653926081
ORB15_range0.6%,3481,652,0.401840490797546,-0.0029535360433861715,-1.9257055002877839,0.6374889676484164
ORB15+VWAP,all,3042,0.35502958579881655,-0.0025751857616151904,-7.83371508683341,0.659898173430317
ORB15+VWAP,2303,309,0.34951456310679613,-0.0028503799810121,-0.8807674141327388,0.5612329171109371
ORB15+VWAP,2337,305,0.3540983606557377,-0.0029422454563181526,-0.8973848641770366,0.6970112396245358
ORB15+VWAP,2344,299,0.38461538461538464,-0.003231595199411919,-0.9662469646241638,0.6772413724846501
ORB15+VWAP,2408,310,0.4129032258064516,-0.0001629383970468507,-0.05051090308452372,0.981592570678479
