pool,symbols,n_symbols,n,win_rate,avg_pnl,total_pnl,pf
high_vol_static,"2408,2344,2337",3,2105,0.45368171021377673,-0.0004415727095179788,-0.9295105535353454,0.9452063716976655
low_vol_static,"2317,2891,2887",3,1987,0.3326623049823855,-0.002474112050611382,-4.916060644564816,0.5043534589634759
all,"2408,2344,2337,6770,3481,2409,2303,2317,2891,2887",10,6769,0.39902496676023047,-0.0016542458669615487,-11.197590273462723,0.7554994751793868
WF_high_vol_OOS,"2408,2344,6770",3,955,0.4649214659685864,-0.0002064137895761921,-0.19712516904526345,0.9799858074008564
WF_low_vol_OOS,"2303,2891,2887",3,882,0.35941043083900226,-0.002430489459694664,-2.1436917034506937,0.600988851980009
high_vol+no_day_filter,"2408,2344,2337",3,2105,0.45368171021377673,-0.0004415727095179788,-0.9295105535353454,0.9452063716976655
high_vol+day_range0.4%,"2408,2344,2337",3,2002,0.461038961038961,-0.0005054338676874572,-1.0118786031102893,0.9371339684099189
high_vol+day_range0.6%,"2408,2344,2337",3,1940,0.46030927835051544,-0.0005793805393213831,-1.1239982462834832,0.9291145365062449
