strategy,params,total_trades,avg_pnl,win_rate,symbols
orb,"(15, False)",707,0.0013941130969925754,0.4837340876944837,1
orb,"(10, False)",774,0.0010264427004672257,0.4754521963824289,1
orb,"(30, False)",593,0.0007301058394301051,0.48903878583473864,1
orb,"(5, False)",901,0.0006134835636588946,0.44950055493895674,1
momentum,"(60,)",291,0.00046519514686532075,0.46735395189003437,1
momentum,"(30,)",826,0.00022704399330072028,0.463680387409201,1
rsi_revert,"(30, 70)",3676,0.00018607679721077938,0.6831965627763041,2
rsi_revert,"(25, 75)",9968,8.40917386556531e-05,0.6816980019568815,4
