symbol,orb_m,exit_type,tp,sl,breakeven_ticks,n,win_rate,avg_pnl,total_pnl,pf
2408,5,orb_stop,區間停損,區間停損,11.602500000000001,901,0.44950055493895674,0.0006134835636588946,0.552748690856664,1.071941944454591
2408,5,tick,+4檔,-2檔,11.602500000000001,34836,0.22895854862785625,-0.001823327932287398,-63.51745184916379,0.17783937292151852
2408,5,tick,+5檔,-2檔,11.602500000000001,34581,0.23032879326797953,-0.0018248826313955432,-63.106266276289276,0.18007875670533405
2408,5,tick,+5檔,-3檔,11.602500000000001,34581,0.23032879326797953,-0.0018248826313955432,-63.106266276289276,0.18007875670533405
2408,5,tick,+6檔,-3檔,11.602500000000001,30529,0.29994431524124604,-0.0018323234024404205,-55.9390011531036,0.21931336770894205
2408,5,tick,+6檔,-4檔,11.602500000000001,30529,0.29994431524124604,-0.0018323234024404205,-55.9390011531036,0.21931336770894205
2408,5,tick,+8檔,-4檔,11.602500000000001,30529,0.29994431524124604,-0.0018323234024404205,-55.9390011531036,0.21931336770894205
2408,5,tick,+8檔,-5檔,11.602500000000001,30401,0.30084536692871944,-0.0018315995397658335,-55.6824576084211,0.21987848061721343
2408,5,tick,+10檔,-5檔,11.602500000000001,29515,0.2964933084872099,-0.0018347984364853447,-54.15407585286495,0.22919817111479152
2408,5,tick,+10檔,-6檔,11.602500000000001,26748,0.32073426050545834,-0.0018092567854149108,-48.39400049627803,0.2484391232033436
2408,5,tick,+12檔,-6檔,11.602500000000001,22266,0.3667025958861044,-0.0018356412940533037,-40.87238905339086,0.308020624534295
2408,5,pct,+0.20%,-0.10%,11.602500000000001,25393,0.37407947072027725,-0.0018547606542940749,-47.09793729448944,0.2846405080525034
2408,5,pct,+0.30%,-0.15%,11.602500000000001,18683,0.38157683455547825,-0.0018397691132431668,-34.37240634272209,0.3760957679525769
2408,5,pct,+0.40%,-0.20%,11.602500000000001,13500,0.3797037037037037,-0.0018022111323640904,-24.32985028691522,0.46397195447980893
2408,5,pct,+0.50%,-0.25%,11.602500000000001,10838,0.3745155932828935,-0.0018040885728190313,-19.55271195221266,0.513434519550722
2408,5,pct,+0.60%,-0.30%,11.602500000000001,9160,0.36331877729257644,-0.0017979340320231237,-16.469075733331813,0.548846211803939
2408,10,orb_stop,區間停損,區間停損,11.602500000000001,774,0.4754521963824289,0.0010264427004672257,0.7944666501616328,1.1251040226575995
2408,10,tick,+4檔,-2檔,11.602500000000001,30313,0.22389733777587173,-0.0018244801394606365,-55.305466467470275,0.17107090876738817
2408,10,tick,+5檔,-2檔,11.602500000000001,30089,0.22553092492272925,-0.0018257704275149314,-54.93560639349677,0.17338150210555178
2408,10,tick,+5檔,-3檔,11.602500000000001,30089,0.22553092492272925,-0.0018257704275149314,-54.93560639349677,0.17338150210555178
2408,10,tick,+6檔,-3檔,11.602500000000001,26469,0.2962333295553289,-0.0018324028180540432,-48.50187019107247,0.2132253329432212
2408,10,tick,+6檔,-4檔,11.602500000000001,26469,0.2962333295553289,-0.0018324028180540432,-48.50187019107247,0.2132253329432212
2408,10,tick,+8檔,-4檔,11.602500000000001,26469,0.2962333295553289,-0.0018324028180540432,-48.50187019107247,0.2132253329432212
2408,10,tick,+8檔,-5檔,11.602500000000001,26348,0.29725216335205706,-0.0018300849773537802,-48.2190789833174,0.21399091134873946
2408,10,tick,+10檔,-5檔,11.602500000000001,25548,0.2932519179583529,-0.0018325615408818316,-46.81828224644904,0.22381164913552284
2408,10,tick,+10檔,-6檔,11.602500000000001,23074,0.31776024963162003,-0.0018071710995308868,-41.69866595057568,0.24300838501816757
2408,10,tick,+12檔,-6檔,11.602500000000001,19144,0.3638737985791893,-0.0018339396374147487,-35.10894041866795,0.3045345275818003
2408,10,pct,+0.20%,-0.10%,11.602500000000001,21967,0.37041926526152863,-0.0018576404474623435,-40.8067877094053,0.27879760029608747
2408,10,pct,+0.30%,-0.15%,11.602500000000001,16100,0.3802484472049689,-0.0018322549088493954,-29.499304032475266,0.3722179044818228
2408,10,pct,+0.40%,-0.20%,11.602500000000001,11491,0.3806457227395353,-0.0017630492365979852,-20.259198777747446,0.46901771269666254
2408,10,pct,+0.50%,-0.25%,11.602500000000001,9248,0.375,-0.0017655596320301254,-16.3278954770146,0.5162772779574306
2408,10,pct,+0.60%,-0.30%,11.602500000000001,7836,0.36510974987238387,-0.0017384705228073215,-13.622655016718172,0.5557752674806921
2408,15,orb_stop,區間停損,區間停損,11.602500000000001,707,0.4837340876944837,0.0013941130969925754,0.9856379595737508,1.1789340761730174
2408,15,tick,+4檔,-2檔,11.602500000000001,27427,0.2227002588689977,-0.0018251564167955164,-50.05856504345063,0.168242518783853
2408,15,tick,+5檔,-2檔,11.602500000000001,27222,0.22430387186834178,-0.0018264446436821128,-49.71947609031447,0.17061134374749928
2408,15,tick,+5檔,-3檔,11.602500000000001,27222,0.22430387186834178,-0.0018264446436821128,-49.71947609031447,0.17061134374749928
2408,15,tick,+6檔,-3檔,11.602500000000001,23905,0.2967580004183225,-0.0018316849323412768,-43.78642830761822,0.2114179823653845
2408,15,tick,+6檔,-4檔,11.602500000000001,23905,0.2967580004183225,-0.0018316849323412768,-43.78642830761822,0.2114179823653845
2408,15,tick,+8檔,-4檔,11.602500000000001,23905,0.2967580004183225,-0.0018316849323412768,-43.78642830761822,0.2114179823653845
2408,15,tick,+8檔,-5檔,11.602500000000001,23798,0.29771409362131274,-0.001830057725134092,-43.55171374274112,0.21209658591085398
2408,15,tick,+10檔,-5檔,11.602500000000001,23043,0.2935815649004036,-0.0018332280470658312,-42.24307388853795,0.22207556169497727
2408,15,tick,+10檔,-6檔,11.602500000000001,20785,0.3184989174885735,-0.0018052440217887328,-37.52199699287881,0.2417434423922208
2408,15,tick,+12檔,-6檔,11.602500000000001,17201,0.36544386954246844,-0.001835821384398076,-31.577963633031302,0.30316571883261584
2408,15,pct,+0.20%,-0.10%,11.602500000000001,19838,0.36878717612662565,-0.0018644258915999717,-36.98648083756024,0.27545137401879943
2408,15,pct,+0.30%,-0.15%,11.602500000000001,14471,0.37993227834980303,-0.0018301813221078516,-26.484553912222722,0.37097396190172843
2408,15,pct,+0.40%,-0.20%,11.602500000000001,10316,0.3793136874757658,-0.0017654331109605464,-18.212207972668995,0.46693097601958766
2408,15,pct,+0.50%,-0.25%,11.602500000000001,8314,0.3728650469088285,-0.0017648861629553148,-14.673263558810488,0.5142180215609347
2408,15,pct,+0.60%,-0.30%,11.602500000000001,7035,0.36432125088841505,-0.001737588444756327,-12.22393470886076,0.5537255047431127
2344,5,orb_stop,區間停損,區間停損,4.542825000000001,919,0.4134929270946681,-0.0017908248030205952,-1.645767993975927,0.7981031279269138
2344,5,tick,+4檔,-2檔,4.542825000000001,29434,0.40347896989875653,-0.00195709617160859,-57.605168715127235,0.23561899588130722
2344,5,tick,+5檔,-2檔,4.542825000000001,27193,0.3856874931048432,-0.001993266119899179,-54.20288559841838,0.24585666784859433
2344,5,tick,+5檔,-3檔,4.542825000000001,27193,0.3856874931048432,-0.001993266119899179,-54.20288559841838,0.24585666784859433
2344,5,tick,+6檔,-3檔,4.542825000000001,20131,0.3170731707317073,-0.0021464656003402135,-43.210499000448834,0.2960577012943455
2344,5,tick,+6檔,-4檔,4.542825000000001,20131,0.3170731707317073,-0.0021464656003402135,-43.210499000448834,0.2960577012943455
2344,5,tick,+8檔,-4檔,4.542825000000001,20131,0.3170731707317073,-0.0021464656003402135,-43.210499000448834,0.2960577012943455
2344,5,tick,+8檔,-5檔,4.542825000000001,18631,0.33519403145295473,-0.00208783303618778,-38.89841729721453,0.3129284217218457
2344,5,tick,+10檔,-5檔,4.542825000000001,17965,0.32785972724742557,-0.0021066344815602687,-37.845688461230225,0.31633659775877343
2344,5,tick,+10檔,-6檔,4.542825000000001,14215,0.39486457966936334,-0.0019136007143304423,-27.201834154207237,0.38098385433598697
2344,5,tick,+12檔,-6檔,4.542825000000001,12581,0.4230188379302122,-0.0019623521550693303,-24.688352462927245,0.40747415293178585
2344,5,pct,+0.20%,-0.10%,4.542825000000001,25590,0.4211410707307542,-0.002009387994502503,-51.42023877931906,0.2749705921310439
2344,5,pct,+0.30%,-0.15%,4.542825000000001,18974,0.35158638136397175,-0.002175335765546701,-41.27482081548311,0.3289142417973777
