year,stock_id,name,industry,start,end,ret,avg_vol,shape,peak_ret,giveback,peak_date,first_half,second_half,max_dd
2021,5227,立凱-KY,電子零組件業,16.1,98.0,5.08695652173913,1450906.0,全年階梯上漲,5.211180124223602,0.02,2021-12-28,0.5248447204968942,2.9918533604887982,-0.4678678678678678
2021,3141,晶宏,半導體業,42.5,255.0,5.0,2904401.5,全年階梯上漲,5.882352941176471,0.1282051282051282,2021-12-16,2.7411764705882353,0.6037735849056605,-0.39066339066339073
2021,3701,大眾控,電腦及週邊設備業,13.85,75.7,4.465703971119134,1557446.0,下半年主升段,5.67870036101083,0.1816216216216216,2021-12-01,0.22743682310469326,3.4529411764705884,-1.0
2021,3169,亞信,半導體業,59.2,277.0,3.679054054054054,5321352.0,年底創新高收斂,3.8986486486486482,0.04482758620689655,2021-12-06,2.1587837837837838,0.481283422459893,-0.5012285012285012
2021,1727,中華化,化學生技醫療,11.05,50.8,3.597285067873303,5885981.5,年底創新高收斂,4.18552036199095,0.11343804537521815,2021-11-10,0.434389140271493,2.2050473186119874,-0.2521489971346704
2021,3035,智原,電子工業,52.2,239.0,3.578544061302682,15316493.0,全年階梯上漲,3.7701149425287355,0.040160642570281124,2021-12-24,1.040229885057471,1.244131455399061,-0.2905349794238683
2021,6485,點序,半導體業,35.6,152.0,3.269662921348315,1870949.0,波段震盪上漲,4.23876404494382,0.18498659517426275,2021-08-05,2.539325842696629,0.20634920634920628,-0.47628205128205126
2021,6550,北極星藥業-KY,生技醫療業,17.45,73.7,3.2234957020057307,1049122.0,波段震盪上漲,3.6418338108882526,0.09012345679012342,2021-04-12,3.2693409742120343,-0.010738255033556965,-0.4135802469135802
2022,8996,高力,電機機械,63.5,188.0,1.9606299212598426,19984757.5,下半年主升段,1.9606299212598426,0.0,2022-12-30,-0.10393700787401572,2.304042179261863,-0.28510638297872337
2022,2743,山富,觀光餐旅,23.0,60.2,1.6173913043478263,1626654.0,波段震盪上漲,2.3521739130434782,0.219195849546044,2022-09-16,1.3304347826086955,0.12313432835820892,-0.39688715953307385
2022,3454,晶睿,電子工業,75.7,197.0,1.6023778071334214,7676739.0,下半年主升段,1.9722589167767501,0.12444444444444444,2022-12-08,0.02509907529722577,1.5386597938144333,-0.21192052980132448
2022,1795,美時,生技醫療業,96.5,246.0,1.549222797927461,10102841.0,年底創新高收斂,1.7927461139896375,0.08719851576994433,2022-12-05,0.44041450777202074,0.7697841726618706,-0.22493224932249323
2022,2305,全友,電腦及週邊設備業,10.15,25.55,1.5172413793103448,16510595.0,波段震盪上漲,2.5024630541871917,0.28129395218002806,2022-09-08,0.399014778325123,0.7992957746478875,-0.2925457102672292
2022,1760,寶齡富錦,生技醫療業,72.0,179.0,1.4861111111111112,9329896.5,全年階梯上漲,1.6388888888888888,0.05789473684210526,2022-12-23,0.6111111111111112,0.5431034482758621,-1.0
2022,8033,雷虎,其他,17.2,42.75,1.48546511627907,3781050.0,下半年主升段,1.7325581395348837,0.09042553191489362,2022-12-06,-0.011627906976744096,1.5147058823529411,-0.2620087336244542
2022,6472,保瑞,生技醫療業,181.0,414.5,1.2900552486187846,3456035.0,年底創新高收斂,1.5828729281767955,0.11336898395721925,2022-11-23,0.3121546961325967,0.7452631578947368,-0.26770538243626063
2023,1519,華城,電機機械,52.4,327.0,5.240458015267176,30103183.5,全年階梯上漲,6.00381679389313,0.10899182561307902,2023-12-08,2.16793893129771,0.9698795180722892,-0.2545757071547421
2023,6117,迎廣,電子工業,13.95,76.7,4.49820788530466,3806660.0,全年階梯上漲,4.60573476702509,0.01918158567774936,2023-12-22,0.8100358422939069,2.0376237623762377,-0.2791461412151067
2023,6276,安鈦克,電腦及週邊設備業,16.75,89.0,4.313432835820896,1057220.0,全年階梯上漲,5.358208955223881,0.1643192488262911,2023-12-25,2.146268656716418,0.6888045540796963,-0.32123411978221417
2023,3715,定穎投控,電子工業,16.3,86.5,4.306748466257669,6522173.0,全年階梯上漲,5.6871165644171775,0.20642201834862386,2023-12-01,0.8558282208588956,1.8595041322314048,-0.24368932038834945
2023,6139,亞翔,其他電子業,37.25,170.0,3.563758389261745,10152586.0,全年階梯上漲,3.5637583892617446,0.0,2023-12-29,0.9114093959731544,1.387640449438202,-0.14968152866242035
2023,4763,材料*-KY,化學生技醫療,195.5,798.0,3.081841432225064,4527683.0,波段震盪上漲,5.3171355498721224,0.35384615384615387,2023-10-16,2.473145780051151,0.17525773195876293,-0.3700404858299595
2023,3693,營邦,電腦及週邊設備業,112.0,441.0,2.9375,751279.0,波段震盪上漲,4.535714285714286,0.2887096774193548,2023-09-07,2.049107142857143,0.29136163982430463,-0.32741935483870965
2023,3661,世芯-KY,電子工業,855.0,3275.0,2.8304093567251463,4074729.5,全年階梯上漲,3.269005847953216,0.10273972602739725,2023-12-13,1.1520467836257309,0.7798913043478262,-0.18609865470852016
2024,8937,合騏*,其他,21.05,148.5,6.054631828978622,992798.5,下半年主升段,6.3871733966745845,0.04501607717041801,2024-11-20,0.22802850356294546,4.74468085106383,-1.0
2024,3230,錦明,光電業,9.42,61.4,5.518046709129512,2032334.0,全年階梯上漲,5.995753715498939,0.06828528072837643,2024-12-26,0.8259023354564756,2.5697674418604652,-0.31123388581952116
2024,4573,高明鐵,電機機械,14.3,82.5,4.769230769230769,750663.5,全年階梯上漲,4.9020979020979025,0.022511848341232293,2024-12-30,1.6678321678321675,1.1625163826998692,-0.4699115044247788
2024,8374,羅昇,電機機械,28.55,139.5,3.8861646234676006,1024063.5,波段震盪上漲,4.481611208406305,0.10862619808306709,2024-09-04,3.588441330998249,0.06488549618320616,-0.24242424242424243
2024,3450,聯鈞,電子工業,61.3,287.0,3.6818923327895594,11733145.5,全年階梯上漲,3.7471451876019577,0.013745704467353952,2024-12-27,1.34094616639478,1.0,-0.29391891891891897
2024,4583,台灣精銳,電機機械,210.0,929.0,3.4238095238095236,1844677.0,年底創新高收斂,3.6190476190476186,0.042268041237113405,2024-12-26,0.38809523809523805,2.1869639794168094,-0.21863799283154117
