stock_id,securities_trader_id,securities_trader,branch_type,mega_desk,buy_lots,sell_lots,net_lots,buy_ratio,active_days,hold_ratio,peak_day_share,avg_buy,avg_sell,spread,score,stock_name
8039,700P,兆豐南京,local,False,12330.195,1311.234,11018.961,0.903878545275572,102,0.99047490379038,0.19970639700058834,175.60673862011103,212.10561959192637,0.20784442133950876,198.86938892473427,台虹
5351,779J,國票北高雄,local,False,6792.364,936.601,5855.763,0.8788193503269843,102,1.0,0.17179657031884657,91.494808199325,92.13841539780547,0.0070343575897591215,188.50449189256733,鈺創
3026,984K,元大館前,local,False,6381.875,1513.256,4868.619,0.8083304760870972,102,0.9970254819436003,0.18797219498999615,579.1218561159534,609.6828467886464,0.05277126109116148,187.88254655634995,禾伸堂
2337,700b,兆豐中壢,local,False,27662.618,7175.598,20487.02,0.7940308424518637,103,1.0,0.21438037352430953,133.88078944660987,143.15117654305607,0.0692435945049692,187.72010034997217,旺宏
6147,9217,凱基松山,local,False,29557.539,2311.599,27245.94,0.9274659076125623,103,0.9990376275667818,0.3671141461810457,206.28439674899863,208.70675212266488,0.011742794956099978,184.80790976297436,頎邦
2382,9B20,台新台北,local,False,22370.695,6693.525,15677.17,0.7696987911597146,103,0.9877262312406033,0.2038549049350106,365.95824161922553,349.0966564702455,-0.04607516167520642,183.28481691088132,廣達
6173,984K,元大館前,local,False,10396.707,3141.175,7255.532,0.7679714596419145,101,0.997016726941333,0.24508568082946916,210.19598547886363,168.067736117854,-0.20042366301637038,182.05136136488514,信昌電
6141,845B,康和永和,local,False,5412.0,801.0,4611.0,0.87107677450507,62,1.0,0.12578616352201258,34.23672394678492,33.85087390761548,-0.011270063098594907,181.62084875798058,柏承
2382,9359,華南中正,local,False,8086.462,2716.756,5369.706,0.7485234492167057,103,0.9802549057872343,0.34073094504615337,333.48954691186333,338.3544449703985,0.014587857711237051,178.15239495123174,廣達
3008,9275,凱基三多,local,False,3230.985,936.817,2294.168,0.7752251666465921,100,0.8440284211459624,0.2134011109909998,3998.4730322177293,4053.652581027031,0.013800155300458972,171.5508281805805,大立光
2317,700g,兆豐南門,local,False,9455.049,3878.571,5576.478,0.7091134290612752,103,0.9803033230242718,0.18055087817077373,261.6544556247144,252.13114185611144,-0.036396528183957444,170.77363685317914,鴻海
2330,5380,第一金證,local,False,5531.94,2576.015,2955.925,0.6822854838242195,103,0.9875405040526604,0.1461312448725864,2294.8390908072033,2291.6325991890576,-0.0013972620699160831,169.91763447454858,台積電
3189,9661,富邦新店,local,False,14202.443,7794.969,6407.474,0.6456415418322846,103,1.0,0.14143763985620542,717.7159049326937,643.369050281021,-0.1035881386224049,168.8256616732914,景碩
2409,700V,兆豐新竹,local,False,39242.207,26369.399,12872.808,0.5980985589653147,103,1.0,0.09057549836834357,25.068213162679665,25.43831893552068,0.0147639470926475,167.66213971324495,友達
2883,8842,玉山新莊,local,False,6609.233,3199.511,3409.722,0.6738103267859779,103,0.9032912151608467,0.21152222967150988,26.986672583641703,27.500699497516962,0.01904743581418189,167.60024327847077,凱基金
2317,918C,群益古亭,local,False,9609.563,5177.363,4432.2,0.6498688774123844,103,0.9827819145244489,0.24378344840034294,261.4566874164829,252.8848258273565,-0.032785015651452865,166.94579183821685,鴻海
2330,779c,國票敦北,local,False,6287.915,4027.152,2260.763,0.6095854733662903,103,0.9674209004504691,0.19377572969833637,2301.7412202614064,2286.977752515922,-0.006414043253658019,166.40604594816568,台積電
2409,9332,華南楠梓,local,False,37161.161,28384.704,8776.457,0.5669489753472625,103,0.9758288136703207,0.18804342116642286,24.777338182464213,24.36454882354947,-0.016659955798112636,164.95282342400012,友達
2308,8888,國泰敦南,local,False,17213.904,13218.356,3995.548,0.5656465868785295,103,0.9644182109321785,0.11187827051508328,1957.693421840856,1964.0936660353225,0.0032692780815744005,164.72187370718527,台達電
3189,9801,元大松江,local,False,10145.43,6721.824,3423.606,0.6014867624570069,103,1.0,0.270225604231328,676.0532186905829,624.0423105395203,-0.07693315661125055,164.60157435018382,景碩
3711,8888,國泰敦南,local,False,39320.198,34931.011,4389.187,0.5295563335541109,103,0.9858649299052721,0.13947389345680647,589.2159168679669,594.6452490023836,0.009214503510490246,164.21892641484712,日月光投控
2330,5383,第一高雄,local,False,6370.855,4448.571,1922.284,0.5888348420701801,103,0.9724299670576046,0.18341046380243503,2308.7005864989865,2320.4904923401245,0.005106727962077118,163.6501490926392,台積電
2330,8888,國泰敦南,local,False,40696.844,30775.396,9921.448,0.5694077029067509,103,0.9275616504747263,0.1945509365165246,2302.2600409751676,2302.923966437345,0.00028837987471486137,163.61757662424756,台積電
3105,9A8F,永豐金敦南,local,False,10974.759,7764.435,3210.324,0.5856580064222613,103,0.9990663873297557,0.3304448398354808,451.0042294322818,466.81114343799646,0.035048261134074554,163.585155539245,穩懋
2409,5385,第一桃園,local,False,61985.551,56806.859,5178.692,0.5217972343519254,103,1.0,0.22206379525949796,24.90380308710977,25.141497091046702,0.00954448616163206,163.5768808480762,友達
4958,8888,國泰敦南,local,False,117897.555,112281.941,5615.614,0.512198336727612,103,0.9915579353483095,0.16426876918534644,471.92202269164954,473.9192354360885,0.004232082099173251,163.44627563451243,臻鼎-KY
2301,700c,兆豐民生,local,False,4716.051,2360.002,2356.049,0.666480451743366,103,1.0,0.42448013602433565,215.30857215072527,221.24078390611533,0.027552139221086236,163.1800202699372,光寶科
2409,920N,凱基湖口,local,False,26501.481,23527.103,2974.378,0.529726785791099,103,0.9544342823624092,0.2207251398443641,25.147561968329242,25.399566240688454,0.010021022024981452,162.59777110921257,友達
3481,700s,兆豐岡山,local,False,13766.395,11566.82,2199.575,0.5434128672574721,103,0.9663232773826558,0.2328290692520146,49.66174853329431,49.28636287242301,-0.007558849053001637,162.57719558795804,群創
2330,888K,國泰板橋,local,False,9691.382,7685.159,2006.223,0.5577279160449712,103,0.9169624219743032,0.2143340994495627,2300.930024737442,2311.7898094235916,0.004719737049538653,162.5522826727702,台積電
3481,9B2q,台新屏新,local,False,29953.839,27220.531,2733.308,0.5239032629480657,103,0.929201024759584,0.20232333860655294,48.622040488699966,49.080748140071194,0.009434150577819489,162.2225519383718,群創
2409,9108,群益海山,local,False,22064.5,19892.173,2172.327,0.5258877413850236,103,1.0,0.2644804396391519,24.418610025153527,24.39004634888305,-0.001169750294593097,161.77869426803062,友達
2305,9B2D,台新大昌,local,False,2514.587,955.936,1558.651,0.7245556361389912,81,0.8041330031470877,0.24315898812498757,21.191530378547252,25.97987867388612,0.22595575731454676,161.35518095559772,全友
2409,9257,凱基林口,local,False,90416.901,85886.694,4530.207,0.5128477442561509,103,1.0,0.26996558876890175,25.088432008966993,25.118572327396834,0.0012013631788174717,161.12518232227532,友達
6147,8888,國泰敦南,local,False,97965.403,92548.003,5417.4,0.5142178970859405,103,1.0,0.2699532986303393,208.2604033997594,206.30437065724692,-0.009392245047935788,161.12035043137575,頎邦
1326,9874,元大雙和,local,False,9557.338,4720.253,4837.085,0.6693942976794894,103,0.9357414048526151,0.39702630820008333,62.3452481642901,61.51335100046545,-0.013343393254806935,160.9520932657551,台化
6182,8888,國泰敦南,local,False,172859.955,165560.526,7299.429,0.5107845556191382,103,0.9519862725882932,0.23075572075569198,116.44249051811913,115.6746575802133,-0.006594095802050393,160.9145201759651,合晶
3481,9654,富邦永和,local,False,124735.913,118481.504,6254.409,0.5128576503219751,103,1.0,0.27785375085000036,49.298219716802805,48.738230589983054,-0.011359216013005158,160.78942473312898,群創
3034,9268,凱基台北,local,False,42547.175,38953.094,3594.081,0.5220495039102263,103,0.9917359955629507,0.28900099914275723,496.339353047529,496.3742535445323,7.031579661975762e-05,160.52254084313205,聯詠
2409,9324,華南岡山,local,False,39403.09,36745.795,2657.295,0.5174480230406525,103,0.9323223828314543,0.250306420626991,25.17640449391152,25.382815262263346,0.008198580079285867,160.31679668858933,友達
2409,9B2m,台新成功,local,False,28704.11,26535.996,2168.114,0.519624455463572,103,0.9150809052746913,0.2424226770363551,25.22619545075601,25.393615364955586,0.006636748475464582,160.0844491042844,友達
2409,9302,華南台中,local,False,44129.406,41958.507,2170.899,0.5126086167288084,103,1.0,0.30933682313179933,24.905751526544453,25.089638662548218,0.007383320106111979,160.04672186484498,友達
2301,989A,元大北投,local,False,5096.33,2773.307,2323.023,0.6475940376919546,103,0.9813689602365739,0.4398798462176225,244.98223447068773,233.92399471100748,-0.04513894562017051,159.94903569715862,光寶科
6182,779Z,國票安和,local,False,37696.031,29573.366,8122.665,0.5603741475488475,102,0.9322480338832136,0.3093348057564851,122.68323862796059,121.29906285270333,-0.011282517406104753,159.55568871697335,合晶
2409,9659,富邦高雄,local,False,45239.322,42394.564,2844.758,0.5162309246448343,103,1.0,0.33030401883042426,24.87592538301082,24.962084318168714,0.0034635469366994798,159.2617736735635,友達
2409,5384,第一台南,local,False,34857.106,32206.272,2650.834,0.5197636480524438,103,0.9339766466553192,0.2767581825191619,24.708046986172633,24.765611938879484,0.002329805861995826,159.23979922668644,友達
2382,6164,中信託文,local,False,6040.962,2838.474,3202.488,0.680331723771645,103,0.9639303583667211,0.48266191785886475,376.8848829871799,344.57609370387047,-0.08572588273435322,159.23801257680717,廣達
2409,1031,土銀台中,local,False,10750.088,8887.989,1862.099,0.5474104210916374,103,0.9474778178842959,0.2113249617770054,24.71273149112826,24.856181302654626,0.005804692677451095,159.07758235187174,友達
3481,9204,凱基台中,local,False,22867.286,20780.378,2086.908,0.5239062965660659,103,1.0,0.34476076568780223,51.64468490488989,50.819982514273796,-0.015968775724644058,158.88962506356955,群創
2409,538P,第一路竹,local,False,37786.173,34615.936,3170.237,0.5218932641865446,103,0.9285650056749534,0.29840923565020533,24.74145727988913,25.036098487991197,0.011908805725100224,158.8837977762082,友達
3481,1233,彰銀台中,local,False,30539.338,28289.653,2249.685,0.5191205472145528,103,1.0,0.33997026250341716,45.340378604474004,43.69417232866023,-0.03630773113242891,158.8658627009625,群創
3481,8842,玉山新莊,local,False,76898.591,72073.073,4825.518,0.516196093506749,103,1.0,0.34008058823943876,47.967325693912905,47.872841781701204,-0.0019697556794101567,158.7450231518896,群創
2409,1022,合庫台南,local,False,24198.212,20491.2,3707.012,0.5414752827806282,103,0.9444255633542668,0.34287722834455353,24.211997444273983,24.503326061919264,0.01203240741767786,158.59269559067764,友達
2409,9A9J,永豐板新,local,False,49170.862,45210.548,3960.314,0.5209803710285744,103,0.9029283108964319,0.2695064078252381,25.210759445299125,25.129527412496742,-0.0032221176430101695,158.4943398941526,友達
2409,700S,兆豐大同,local,False,21941.588,18562.157,3379.431,0.541717512788015,103,1.0,0.380892523031244,23.7613569172842,23.35252341093764,-0.017205814792890517,158.33746220542707,友達
2409,5261,美好蘆洲,local,False,48704.475,40552.937,8151.538,0.5456630873411387,103,0.9964428202299136,0.4148229450687711,23.573608943531372,24.0996815286153,0.02231616662277247,158.3168133542746,友達
