score,stock_id,stock_name,securities_trader,securities_trader_id,net_lots,buy_lots,sell_lots,buy_ratio,active_days,hold_ratio,avg_buy,avg_sell,spread
198.86938892473427,8039,台虹,兆豐南京,700P,11018.961,12330.195,1311.234,0.903878545275572,102,0.99047490379038,175.60673862011103,212.1056195919264,0.2078444213395087
188.50449189256733,5351,鈺創,國票北高雄,779J,5855.763,6792.364,936.601,0.8788193503269843,102,1.0,91.494808199325,92.13841539780547,0.0070343575897591
187.88254655634995,3026,禾伸堂,元大館前,984K,4868.619,6381.875,1513.256,0.8083304760870972,102,0.9970254819436004,579.1218561159534,609.6828467886464,0.0527712610911614
187.72010034997217,2337,旺宏,兆豐中壢,700b,20487.02,27662.618,7175.598,0.7940308424518637,103,1.0,133.88078944660987,143.15117654305607,0.0692435945049692
184.8079097629744,6147,頎邦,凱基松山,9217,27245.94,29557.539,2311.599,0.9274659076125624,103,0.9990376275667818,206.28439674899863,208.70675212266488,0.0117427949560999
183.2848169108813,2382,廣達,台新台北,9B20,15677.17,22370.695,6693.525,0.7696987911597146,103,0.9877262312406032,365.95824161922553,349.0966564702455,-0.0460751616752064
182.05136136488517,6173,信昌電,元大館前,984K,7255.532,10396.707,3141.175,0.7679714596419145,101,0.997016726941333,210.19598547886363,168.067736117854,-0.2004236630163703
181.62084875798055,6141,柏承,康和永和,845B,4611.0,5412.0,801.0,0.87107677450507,62,1.0,34.23672394678492,33.85087390761548,-0.0112700630985949
178.15239495123174,2382,廣達,華南中正,9359,5369.706,8086.462,2716.756,0.7485234492167057,103,0.9802549057872344,333.48954691186333,338.3544449703985,0.014587857711237
148.02213790992172,6669,緯穎,第一路竹,538P,675.715,795.948,120.233,0.8687671977480432,103,1.0,5998.914131325162,5018.241830445884,-0.1634749688711825
147.1859430847378,2330,台積電,中銀台北,6115,814.391,1180.447,366.056,0.7633008148060495,103,0.9740726830831942,2332.4904548870045,2313.246607076513,-0.0082503436488547
146.6623527850757,3711,日月光投控,兆豐大同,700S,1082.61,1599.459,516.849,0.7557779869470795,101,0.9991057412519068,601.2378970014236,603.0947878393883,0.0030884460996649
146.12212919428313,3008,大立光,台新五權,9B25,802.215,1286.977,484.762,0.7263919798570783,103,1.0,4854.693549301969,4345.686625601842,-0.1048484149474923
141.64048281624787,3443,創意,台新五權,9B25,646.143,875.086,228.943,0.7926295414341471,103,0.9827314801436356,5101.719088181048,4879.396203421812,-0.0435780333876637
138.27664771312908,8064,東捷,凱基內埔,9225,477.074,711.395,234.321,0.7522289989806665,72,0.987099350519026,109.25688471243122,120.7557069148732,0.1052457447666328
137.00538810664068,6141,柏承,永豐信義,9A9R,1098.815,1644.501,545.686,0.7508495849897748,70,0.866904928146807,37.14010429303479,35.429400057908765,-0.0460608355223937
135.58190501396098,3595,山太士,凱基-站前,920F,446.036,685.456,239.42,0.7411328653787103,101,0.9851836799604192,2160.148237085969,2071.2849803692257,-0.0411375734271919
130.76364063150348,6141,柏承,富邦竹科,962C,476.666,754.125,277.459,0.7310359602320315,64,1.0,50.39969680092822,44.31867771454521,-0.1206558664509865
130.51483833853314,4979,華星光,第一金證券,5380,592.152,896.608,304.456,0.7465114265351388,103,0.9800579608441562,575.4617703611834,545.1693430249363,-0.0526402080840823
111.31741975224602,2486,一詮,富邦港都,962Q,213.443,329.195,115.752,0.739852162167629,64,0.9301807690966776,262.37906863713,247.77830620637224,-0.055647588455124
84.44402341035031,3037,欣興,法銀巴黎,8900,5658.381,7657.885,1999.504,0.7929560464013617,94,1.0,967.5690999538384,881.7330763029231,-0.0887130683017992
83.81193985174416,3006,晶豪科,花旗環球,1590,5056.967,7700.009,2643.042,0.7444620547650785,99,0.992533477369716,229.34543628455495,229.82312653374407,0.002082841747051
82.93994506593882,2408,南亞科,港麥格理,1360,32231.166,48727.591,16496.425,0.7470805078914491,93,0.9915536101613124,397.1060042245881,399.5965811683441,0.0062718189029129
81.7728505143526,2408,南亞科,法銀巴黎,8900,4810.074,7219.355,2409.281,0.7497796157212714,99,1.0,424.8681642612117,402.1043458608606,-0.0535785458059309
78.87922808092989,1326,台化,上海匯豐,8960,6966.339,10248.98,3282.641,0.7574096259420804,82,0.9845108896501228,60.05685049634207,57.988650738841066,-0.0344373662689315
