score,stock_id,stock_name,securities_trader,securities_trader_id,net_lots,buy_lots,sell_lots,buy_ratio,active_days,hold_ratio,avg_buy,avg_sell,spread
171.5508281805805,3008,大立光,凱基三多,9275,2294.168,3230.985,936.817,0.7752251666465921,100,0.8440284211459624,3998.473032217729,4053.652581027031,0.0138001553004589
153.45383985018066,6182,合晶,國票天祥,779V,2466.325,5289.028,2822.703,0.6520221146386634,100,0.8033919782142032,104.50704308995908,104.7357437534165,0.0021883756031693
149.5176056490755,2883,凱基金,富邦羅東,9634,2149.723,5302.009,3152.286,0.6271379222040395,103,0.8799481459559535,27.688383922018996,27.78435240330351,0.0034660195970557
161.35518095559772,2305,全友,台新大昌,9B2D,1558.651,2514.587,955.936,0.7245556361389912,81,0.8041330031470877,21.19153037854725,25.97987867388612,0.2259557573145467
62.48990821799139,2455,全新,花旗環球,1590,2715.41,6474.82,3759.41,0.6326631314715421,94,0.8616492300271942,379.89098368757743,411.5476032143342,0.0833307998507044
167.60024327847077,2883,凱基金,玉山新莊,8842,3409.722,6609.233,3199.511,0.6738103267859779,103,0.9032912151608468,26.986672583641703,27.50069949751696,0.0190474358141818
144.97292428539987,2330,台積電,凱基中山,9229,1977.365,4908.793,2931.428,0.626103907019968,103,0.8813424776351042,2328.482887748577,2279.729118368249,-0.0209379977138111
144.22704657026776,2382,廣達,國票安和,779Z,1569.165,3849.495,2280.33,0.6279942738985208,103,0.8642427820734468,339.3227106412659,346.8220286098942,0.0221008430424705
146.6623527850757,3711,日月光投控,兆豐大同,700S,1082.61,1599.459,516.849,0.7557779869470795,101,0.9991057412519068,601.2378970014236,603.0947878393883,0.0030884460996649
163.1800202699372,2301,光寶科,兆豐民生,700c,2356.049,4716.051,2360.002,0.666480451743366,103,1.0,215.30857215072527,221.24078390611533,0.0275521392210862
159.23801257680717,2382,廣達,中信託文,6164,3202.488,6040.962,2838.474,0.680331723771645,103,0.9639303583667213,376.8848829871799,344.57609370387047,-0.0857258827343532
159.94903569715862,2301,光寶科,元大北投,989A,2323.023,5096.33,2773.307,0.6475940376919546,103,0.981368960236574,244.98223447068773,233.92399471100748,-0.0451389456201705
81.7728505143526,2408,南亞科,法銀巴黎,8900,4810.074,7219.355,2409.281,0.7497796157212714,99,1.0,424.8681642612117,402.1043458608606,-0.0535785458059309
169.91763447454858,2330,台積電,第一金證,5380,2955.925,5531.94,2576.015,0.6822854838242195,103,0.9875405040526604,2294.839090807204,2291.6325991890576,-0.001397262069916
137.00538810664068,6141,柏承,永豐信義,9A9R,1098.815,1644.501,545.686,0.7508495849897748,70,0.866904928146807,37.14010429303479,35.429400057908765,-0.0460608355223937
83.81193985174416,3006,晶豪科,花旗環球,1590,5056.967,7700.009,2643.042,0.7444620547650785,99,0.992533477369716,229.34543628455495,229.82312653374407,0.002082841747051
122.57626936672918,6147,頎邦,凱基斗六,9281,1139.092,1933.456,794.364,0.7087916358117471,97,0.7374286341322254,177.96714199857664,193.5026820198297,0.0872944288860766
178.15239495123174,2382,廣達,華南中正,9359,5369.706,8086.462,2716.756,0.7485234492167057,103,0.9802549057872344,333.48954691186333,338.3544449703985,0.014587857711237
187.88254655634995,3026,禾伸堂,元大館前,984K,4868.619,6381.875,1513.256,0.8083304760870972,102,0.9970254819436004,579.1218561159534,609.6828467886464,0.0527712610911614
157.30897107800556,1326,台化,第一金證,5380,2247.776,5095.294,2847.518,0.6414974948418771,102,0.9948213679537344,60.77601270898206,58.50872809232462,-0.0373055834958117
